Energy,Resistance,collimatore131x,collimatore131y,collimatore386x,collimatore386y,BES_formula,BES_cons
20,340,-3,3,-3,3,0.091,0.064
30,340,-3,3,-3,3,0.091,0.064
40,340,-3,3,-3,3,0.091,0.064
60,340,-3,3,-3,3,0.091,0.064
80,340,-3,3,-3,3,0.091,0.064
100,340,-3,3,-3,3,0.091,0.064
120,340,-3,3,-3,3,0.091,0.064
150,340,-3,3,-3,3,0.091,0.064
175,340,-3,3,-3,3,0.091,0.064
200,340,-3,3,-3,3,0.091,0.064
225,340,-10,10,-6,6,0.250,0.214
250,340,-10,10,-6,6,0.250,0.214
